package,package_version,layer_version_arn,time_to_live
aiobotocore,0.11.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiobotocore:3,05-02-2020
aiobotocore,0.11.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiobotocore:4,11-02-2020
aiobotocore,0.11.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiobotocore:5,19-02-2020
aiobotocore,0.11.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiobotocore:6,26-02-2020
aiobotocore,0.11.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiobotocore:7,
aiodns,2.0.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiodns:1,
aiohttp,3.6.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiohttp:3,05-02-2020
aiohttp,3.6.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiohttp:4,11-02-2020
aiohttp,3.6.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aiohttp:5,
ansible,2.9.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-ansible:1,11-02-2020
ansible,2.9.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-ansible:2,19-02-2020
ansible,2.9.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-ansible:3,
arrow,0.15.4,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-arrow:1,05-02-2020
arrow,0.15.5,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-arrow:2,19-02-2020
arrow,0.15.5,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-arrow:3,
aws-lambda-powertools,0.3.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aws-lambda-powertools:1,19-02-2020
aws-lambda-powertools,0.3.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aws-lambda-powertools:2,
aws-xray-sdk,2.4.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aws-xray-sdk:4,05-02-2020
aws-xray-sdk,2.4.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aws-xray-sdk:5,11-02-2020
aws-xray-sdk,2.4.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aws-xray-sdk:6,19-02-2020
aws-xray-sdk,2.4.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-aws-xray-sdk:7,
bcrypt,3.1.7,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-bcrypt:1,19-02-2020
bcrypt,3.1.7,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-bcrypt:2,
beautifulsoup4,4.8.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-beautifulsoup4:2,
boltons,19.3.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-boltons:1,11-02-2020
boltons,20.0.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-boltons:2,
boto3,1.10.45,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-boto3:4,05-02-2020
boto3,1.10.46,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-boto3:5,11-02-2020
boto3,1.11.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-boto3:6,19-02-2020
boto3,1.11.5,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-boto3:7,
Cerberus,1.3.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-Cerberus:1,
construct,2.9.45,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-construct:1,19-02-2020
construct,2.10.53,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-construct:2,
dynamodb-encryption-sdk,1.2.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-dynamodb-encryption-sdk:1,19-02-2020
dynamodb-encryption-sdk,1.2.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-dynamodb-encryption-sdk:2,
elasticsearch,7.1.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-elasticsearch:1,19-02-2020
elasticsearch,7.5.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-elasticsearch:2,
envelopes,0.4,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-envelopes:1,
ffmpeg-python,0.2.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-ffmpeg-python:1,
flashtext,2.7,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-flashtext:1,
google-auth,1.10.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-google-auth:3,11-02-2020
google-auth,1.10.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-google-auth:4,19-02-2020
google-auth,1.10.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-google-auth:5,
google-auth-oauthlib,0.4.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-google-auth-oauthlib:3,11-02-2020
google-auth-oauthlib,0.4.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-google-auth-oauthlib:4,19-02-2020
google-auth-oauthlib,0.4.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-google-auth-oauthlib:5,
graphene,2.1.8,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-graphene:2,
grpcio,1.26.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-grpcio:2,19-02-2020
grpcio,1.26.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-grpcio:3,
gspread,3.1.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-gspread:1,
idna,2.8,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-idna:1,
itsdangerous,1.1.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-itsdangerous:1,
jellyfish,0.7.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-jellyfish:1,
kafka-python,1.4.7,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-kafka-python:1,
ldap3,2.6.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-ldap3:1,
loguru,0.4.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-loguru:1,19-02-2020
loguru,0.4.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-loguru:2,
nltk,3.4.5,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-nltk:1,19-02-2020
nltk,3.4.5,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-nltk:2,
numpy,1.18.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-numpy:2,11-02-2020
numpy,1.18.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-numpy:3,
opencv-python-headless,4.1.2.30,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-opencv-python-headless:2,11-02-2020
opencv-python-headless,4.1.2.30,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-opencv-python-headless:3,
openpyxl,3.0.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-openpyxl:1,11-02-2020
openpyxl,3.0.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-openpyxl:2,
pandas,0.25.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-pandas:2,11-02-2020
pandas,0.25.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-pandas:3,19-02-2020
pandas,0.25.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-pandas:4,
parliament,0.4.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-parliament:1,19-02-2020
parliament,0.4.6,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-parliament:2,
Pillow,6.2.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-Pillow:1,05-02-2020
Pillow,7.0.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-Pillow:2,
pulp,2.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-pulp:2,
pycryptodome,3.9.4,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-pycryptodome:1,
PyJWT,1.7.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-PyJWT:1,
