Package,Package Version,Status,Expiry Date,Arn
aiobotocore,1.0.4,deprecated,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:16
aiobotocore,1.0.4,deprecated,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:17
aiobotocore,1.0.4,deprecated,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:18
aiobotocore,1.1.1,deprecated,2020-11-27T02:01:02,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:25
aiobotocore,1.1.1,deprecated,2020-12-11T02:00:50,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:26
aiobotocore,1.1.2,deprecated,2020-12-18T02:00:56,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:27
aiobotocore,1.1.2,deprecated,2020-12-25T02:00:58,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:28
aiobotocore,1.1.2,deprecated,2021-01-01T02:00:53,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:29
aiobotocore,1.1.2,deprecated,2021-01-08T02:00:59,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:30
aiobotocore,1.1.2,deprecated,2021-01-15T02:01:01,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:31
aiobotocore,1.1.2,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiobotocore:32
aiodns,2.0.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiodns:1
aiohttp,3.6.2,deprecated,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:6
aiohttp,3.6.2,deprecated,2020-11-27T02:00:47,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:12
aiohttp,3.6.2,deprecated,2020-12-18T02:00:51,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:13
aiohttp,3.6.3,deprecated,2020-12-25T02:00:44,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:14
aiohttp,3.7.1,deprecated,2021-01-01T02:00:47,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:15
aiohttp,3.7.2,deprecated,2021-01-08T02:00:44,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:16
aiohttp,3.7.2,deprecated,2021-01-15T02:00:44,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:17
aiohttp,3.7.2,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aiohttp:18
ansible,2.9.4,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-ansible:4
arrow,0.15.5,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-arrow:3
aws-lambda-powertools,0.3.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aws-lambda-powertools:3
aws-xray-sdk,2.4.3,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-aws-xray-sdk:8
bcrypt,3.1.7,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-bcrypt:3
beautifulsoup4,4.8.2,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-beautifulsoup4:2
boltons,20.0.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-boltons:2
boto3,1.11.13,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-boto3:8
Cerberus,1.3.2,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-Cerberus:1
construct,2.10.56,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-construct:3
dynamodb-encryption-sdk,1.2.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-dynamodb-encryption-sdk:3
elasticsearch,7.5.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-elasticsearch:3
envelopes,0.4,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-envelopes:1
es_core_news_sm,2.3.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-es_core_news_sm:1
ffmpeg-python,0.2.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-ffmpeg-python:1
flashtext,2.7,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-flashtext:1
fsspec,0.8.4,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-fsspec:1
google-auth,1.11.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-google-auth:6
google-auth-oauthlib,0.4.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-google-auth-oauthlib:6
graphene,2.1.8,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-graphene:2
grpcio,1.27.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-grpcio:4
gspread,3.2.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-gspread:2
idna,2.8,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-idna:1
itsdangerous,1.1.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-itsdangerous:1
jellyfish,0.7.2,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-jellyfish:1
kafka-python,1.4.7,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-kafka-python:1
lambda-cache,0.8.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-lambda-cache:1
ldap3,2.6.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-ldap3:1
loguru,0.4.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-loguru:2
nltk,3.4.5,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-nltk:2
numpy,1.18.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-numpy:3
opencv-python-headless,4.2.0.32,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-opencv-python-headless:4
openpyxl,3.0.3,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-openpyxl:2
pandas,1.0.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-pandas:5
parliament,0.4.6,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-parliament:3
pika,1.1.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-pika:1
Pillow,7.0.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-Pillow:2
pulp,2.0,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-pulp:2
pyarrow,1.0.1,latest,,arn:aws:lambda:us-west-2:908645878701:layer:pylayers-python38-dev-pyarrow:1
